BuildingIndex,Year,Month,Day,Hour,Quarter,ESS#1 Scheule[MW],ESS#2 Scheule[MW],ESS#1 SOC[%],ESS#2 SOC[%],
1,2017,4,1,0,1,0.052303,-0.154473,50.871718,48.069085,
1,2017,4,1,0,2,0.052303,-0.154473,51.743437,46.138169,
1,2017,4,1,0,3,0.052303,-0.154473,52.615155,44.207254,
1,2017,4,1,1,0,0.052303,-0.154473,53.486874,42.276339,
1,2017,4,1,1,1,0.252352,0.219830,57.692745,45.024209,
1,2017,4,1,1,2,0.252352,0.219830,61.898617,47.772078,
1,2017,4,1,1,3,0.252352,0.219830,66.104489,50.519948,
1,2017,4,1,2,0,0.252352,0.219830,70.310361,53.267818,
1,2017,4,1,2,1,-0.013854,0.304847,70.079453,57.078408,
1,2017,4,1,2,2,-0.013854,0.304847,69.848546,60.888998,
1,2017,4,1,2,3,-0.013854,0.304847,69.617639,64.699589,
1,2017,4,1,3,0,-0.013854,0.304847,69.386732,68.510179,
1,2017,4,1,3,1,0.281772,0.427454,74.082936,73.853357,
1,2017,4,1,3,2,0.281772,0.427454,78.779139,79.196536,
1,2017,4,1,3,3,0.281772,0.427454,83.475343,84.539714,
1,2017,4,1,4,0,0.281772,0.427454,88.171547,89.882892,
1,2017,4,1,4,1,-0.024367,-0.071273,87.765424,88.991977,
1,2017,4,1,4,2,-0.024367,-0.071273,87.359300,88.101061,
1,2017,4,1,4,3,-0.024367,-0.071273,86.953177,87.210146,
1,2017,4,1,5,0,-0.024367,-0.071273,86.547053,86.319230,
1,2017,4,1,5,1,-0.029229,-0.085979,86.059900,85.244490,
1,2017,4,1,5,2,-0.029229,-0.085979,85.572747,84.169749,
1,2017,4,1,5,3,-0.029229,-0.085979,85.085594,83.095009,
1,2017,4,1,6,0,-0.029229,-0.085979,84.598441,82.020268,
1,2017,4,1,6,1,-0.134165,-0.255848,82.362360,78.822166,
1,2017,4,1,6,2,-0.134165,-0.255848,80.126279,75.624064,
1,2017,4,1,6,3,-0.134165,-0.255848,77.890198,72.425962,
1,2017,4,1,7,0,-0.134165,-0.255848,75.654117,69.227860,
1,2017,4,1,7,1,0.152784,0.141389,78.200523,70.995224,
1,2017,4,1,7,2,0.152784,0.141389,80.746930,72.762589,
1,2017,4,1,7,3,0.152784,0.141389,83.293336,74.529953,
1,2017,4,1,8,0,0.152784,0.141389,85.839742,76.297317,
1,2017,4,1,8,1,-0.241746,-0.137565,81.810650,74.577755,
1,2017,4,1,8,2,-0.241746,-0.137565,77.781558,72.858194,
1,2017,4,1,8,3,-0.241746,-0.137565,73.752466,71.138632,
1,2017,4,1,9,0,-0.241746,-0.137565,69.723374,69.419070,
1,2017,4,1,9,1,-0.717564,-1.000000,57.763970,56.919070,
1,2017,4,1,9,2,-0.717564,-1.000000,45.804566,44.419070,
1,2017,4,1,9,3,-0.717564,-1.000000,33.845162,31.919070,
1,2017,4,1,10,0,-0.717564,-1.000000,21.885757,19.419070,
1,2017,4,1,10,1,-0.173142,-0.064627,19.000051,18.611227,
1,2017,4,1,10,2,-0.173142,-0.064627,16.114345,17.803385,
1,2017,4,1,10,3,-0.173142,-0.064627,13.228639,16.995542,
1,2017,4,1,11,0,-0.173142,-0.064627,10.342933,16.187699,
1,2017,4,1,11,1,0.114735,0.135744,12.255185,17.884497,
1,2017,4,1,11,2,0.114735,0.135744,14.167436,19.581295,
1,2017,4,1,11,3,0.114735,0.135744,16.079688,21.278092,
1,2017,4,1,12,0,0.114735,0.135744,17.991939,22.974890,
1,2017,4,1,12,1,0.079951,-0.006180,19.324460,22.897643,
1,2017,4,1,12,2,0.079951,-0.006180,20.656980,22.820396,
1,2017,4,1,12,3,0.079951,-0.006180,21.989501,22.743149,
