BuildingIndex,Year,Month,Day,Hour,Quarter,DemandMean,CIMin,CIMax,CILevel,pmfStartIndx,pmfStep,DemandpmfData1,DemandpmfData2,DemandpmfData3,DemandpmfData4,DemandpmfData5,DemandpmfData6,DemandpmfData7,DemandpmfData8,DemandpmfData9,DemandpmfData10,
1,2017,04,01,00,1,4.827696,4.034034,5.921150,95,4.000000,0.200000,0.100000,0.100000,0.100000,0.300000,0.000000,0.200000,0.100000,0.000000,0.000000,0.100000,
1,2017,04,01,00,2,4.618759,3.957209,5.479417,95,3.900000,0.160000,0.100000,0.200000,0.100000,0.000000,0.200000,0.000000,0.200000,0.000000,0.100000,0.100000,
1,2017,04,01,00,3,4.495324,3.920825,5.368672,95,3.900000,0.150000,0.200000,0.000000,0.200000,0.200000,0.100000,0.100000,0.000000,0.000000,0.100000,0.100000,
1,2017,04,01,01,0,4.263707,3.799679,4.886415,95,3.700000,0.120000,0.100000,0.000000,0.200000,0.200000,0.100000,0.100000,0.100000,0.100000,0.000000,0.100000,
1,2017,04,01,01,1,3.831587,3.305890,4.195916,95,3.280000,0.100000,0.100000,0.000000,0.000000,0.100000,0.300000,0.100000,0.100000,0.100000,0.100000,0.100000,
1,2017,04,01,01,2,3.811440,3.335553,4.406165,95,3.300000,0.120000,0.200000,0.000000,0.000000,0.300000,0.300000,0.000000,0.000000,0.100000,0.000000,0.100000,
1,2017,04,01,01,3,3.769288,3.033405,4.278276,95,3.000000,0.130000,0.100000,0.000000,0.000000,0.100000,0.100000,0.200000,0.200000,0.100000,0.100000,0.100000,
1,2017,04,01,02,0,3.738438,2.848715,4.300927,95,2.800000,0.160000,0.100000,0.000000,0.000000,0.200000,0.100000,0.000000,0.300000,0.000000,0.100000,0.200000,
1,2017,04,01,02,1,3.635606,2.760865,4.444973,95,2.700000,0.180000,0.100000,0.000000,0.100000,0.200000,0.000000,0.100000,0.300000,0.100000,0.000000,0.100000,
1,2017,04,01,02,2,3.588076,2.774880,4.346326,95,2.700000,0.170000,0.100000,0.000000,0.000000,0.300000,0.000000,0.300000,0.100000,0.000000,0.100000,0.100000,
1,2017,04,01,02,3,3.657970,2.903629,4.270071,95,2.900000,0.140000,0.100000,0.000000,0.100000,0.100000,0.200000,0.000000,0.200000,0.100000,0.000000,0.200000,
1,2017,04,01,03,0,3.553802,2.896866,4.406817,95,2.800000,0.170000,0.100000,0.000000,0.200000,0.100000,0.300000,0.100000,0.100000,0.000000,0.000000,0.100000,
1,2017,04,01,03,1,3.592525,3.062484,4.281851,95,3.000000,0.130000,0.100000,0.300000,0.000000,0.000000,0.200000,0.000000,0.200000,0.100000,0.000000,0.100000,
1,2017,04,01,03,2,3.576902,2.950550,4.301411,95,2.900000,0.150000,0.100000,0.100000,0.100000,0.100000,0.200000,0.100000,0.200000,0.000000,0.000000,0.100000,
1,2017,04,01,03,3,3.745924,3.059344,4.199903,95,3.000000,0.120000,0.100000,0.100000,0.100000,0.000000,0.000000,0.100000,0.100000,0.000000,0.100000,0.400000,
1,2017,04,01,04,0,3.649236,2.972602,4.159181,95,2.900000,0.130000,0.100000,0.100000,0.100000,0.000000,0.000000,0.100000,0.300000,0.000000,0.100000,0.200000,
1,2017,04,01,04,1,4.287948,3.620868,5.319531,95,3.600000,0.180000,0.200000,0.100000,0.200000,0.000000,0.200000,0.000000,0.200000,0.000000,0.000000,0.100000,
1,2017,04,01,04,2,4.308251,3.592358,5.596388,95,3.400000,0.220000,0.200000,0.200000,0.000000,0.000000,0.200000,0.300000,0.000000,0.000000,0.000000,0.100000,
1,2017,04,01,04,3,4.495225,3.991522,5.527838,95,3.900000,0.170000,0.200000,0.300000,0.100000,0.100000,0.000000,0.100000,0.000000,0.000000,0.100000,0.100000,
1,2017,04,01,05,0,4.767566,4.198194,5.737261,95,4.100000,0.170000,0.100000,0.000000,0.300000,0.200000,0.100000,0.200000,0.000000,0.000000,0.000000,0.100000,
1,2017,04,01,05,1,5.043037,4.476665,6.022640,95,4.400000,0.170000,0.300000,0.000000,0.000000,0.300000,0.200000,0.000000,0.100000,0.000000,0.000000,0.100000,
1,2017,04,01,05,2,5.219794,4.527334,6.215698,95,4.500000,0.180000,0.200000,0.100000,0.000000,0.200000,0.200000,0.100000,0.000000,0.100000,0.000000,0.100000,
1,2017,04,01,05,3,5.324048,4.482469,6.347258,95,4.400000,0.200000,0.100000,0.200000,0.000000,0.000000,0.300000,0.200000,0.000000,0.000000,0.000000,0.200000,
1,2017,04,01,06,0,5.210786,4.436201,6.554768,95,4.400000,0.220000,0.300000,0.000000,0.200000,0.100000,0.200000,0.000000,0.000000,0.000000,0.100000,0.100000,
1,2017,04,01,06,1,5.321130,4.603521,6.672150,95,4.600000,0.210000,0.300000,0.200000,0.100000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.200000,
1,2017,04,01,06,2,5.447006,4.711613,6.748601,95,4.600000,0.220000,0.200000,0.200000,0.200000,0.000000,0.000000,0.200000,0.000000,0.100000,0.000000,0.100000,
1,2017,04,01,06,3,5.519212,4.544593,6.913671,95,4.400000,0.260000,0.100000,0.300000,0.000000,0.200000,0.000000,0.000000,0.200000,0.100000,0.000000,0.100000,
1,2017,04,01,07,0,5.324679,4.213514,6.645855,95,4.200000,0.250000,0.100000,0.100000,0.200000,0.200000,0.000000,0.100000,0.100000,0.000000,0.000000,0.200000,
1,2017,04,01,07,1,5.020677,4.057898,6.205751,95,4.000000,0.230000,0.200000,0.200000,0.000000,0.100000,0.100000,0.100000,0.000000,0.100000,0.000000,0.200000,
1,2017,04,01,07,2,4.703213,3.741012,5.631130,95,3.700000,0.200000,0.200000,0.100000,0.100000,0.100000,0.000000,0.000000,0.200000,0.000000,0.000000,0.300000,
1,2017,04,01,07,3,4.541704,3.718673,5.634409,95,3.700000,0.200000,0.300000,0.100000,0.100000,0.000000,0.100000,0.100000,0.000000,0.000000,0.100000,0.200000,
1,2017,04,01,08,0,4.427724,3.354588,5.740677,95,3.200000,0.260000,0.100000,0.100000,0.200000,0.100000,0.200000,0.000000,0.000000,0.000000,0.200000,0.100000,
1,2017,04,01,08,1,4.682712,3.392760,6.197935,95,3.200000,0.300000,0.100000,0.100000,0.100000,0.100000,0.300000,0.000000,0.000000,0.100000,0.000000,0.200000,
